Symbol,FiscalDateEnding,TotalRevenue,GrossProfit,NetIncome,OperatingIncome,OperatingMargin,TotalAssets,TotalLiabilities,CommonStockSharesOutstanding,TotalShareholderEquity,BVPS,Debt_to_Equity,Date
ADBE,2022-08-31,4433.0,3887.0,1136.0,1484.0,33.4762012181367,26744.0,12371.0,469.0,14373.0,30.65,0.86,2025-12-30
ADBE,2022-05-31,4386.0,3847.0,1178.0,1529.0,34.8609211126311,26326.0,12341.0,473.0,13985.0,29.57,0.88,2025-12-30
ADBE,2022-02-28,4262.0,3750.0,1266.0,1580.0,37.07179727827311,25976.0,12201.0,475.0,13775.0,29.0,0.89,2025-12-30
ADBE,2021-11-30,4110.0,3603.0,1233.0,1501.0,36.52068126520681,27241.0,12444.0,480.0,14797.0,30.83,0.84,2025-12-30
ADBE,2021-08-31,3935.0,3468.0,1212.0,1441.0,36.62007623888183,26144.0,11730.0,481.0,14414.0,29.97,0.81,2025-12-30
ADBE,2021-05-31,3835.0,3391.0,1116.0,1406.0,36.662320730117344,25582.0,11730.0,481.0,13852.0,28.8,0.85,2025-12-30
ADBE,2021-02-28,3905.0,3458.0,1261.0,1454.0,37.234314980793854,24985.0,11439.0,483.0,13546.0,28.05,0.84,2025-12-30
ADBE,2020-11-30,3424.0,2996.0,2250.0,1215.0,35.48481308411215,24284.0,11020.0,484.0,13264.0,27.4,0.83,2025-12-30
ADBE,2020-08-31,3225.0,2798.0,955.0,1069.0,33.14728682170542,22414.0,10701.0,485.0,11713.0,24.15,0.91,2025-12-30
ADBE,2020-05-31,3128.0,2713.0,1100.0,1016.0,32.48081841432225,21603.0,10722.0,485.0,10881.0,22.44,0.99,2025-12-30
ADBE,2020-02-29,3091.0,2639.0,955.0,937.0,30.313814299579423,21214.0,10749.0,488.0,10465.0,21.44,1.03,2025-12-30
ADBE,2019-11-30,2991.944,2539.961,851.861,969.931,32.41808670215753,20762.0,10232.0,488.851,10530.0,21.54,0.97,2025-12-30
ADBE,2019-08-31,2834.126,2418.163,792.763,853.812,30.126112953340815,20054.88,9812.107,491.042,10242.773,20.86,0.96,2025-12-30
ADBE,2019-05-31,2744.28,2336.792,632.593,749.547,27.313065722156633,19665.909,9734.216,492.212,9931.693,20.18,0.98,2025-12-30
ADBE,2019-02-28,2600.946,2203.66,674.241,694.83,26.714510797225316,19505.536,9634.051,494.188,9871.485,19.98,0.98,2025-12-30
ADBE,2018-11-30,2464.625,2105.364,678.24,720.546,29.235522645432876,18768.682,9406.568,495.118,9362.114,18.91,1.0,2025-12-30
ADBE,2018-08-31,2291.076,1995.584,666.291,718.606,31.365437026096032,15395.62,6533.695,496.866,8861.925,17.84,0.74,2025-12-30
ADBE,2018-05-31,2195.36,1914.016,663.167,698.484,31.816376357408355,15163.404,6457.821,498.252,8705.583,17.47,0.74,2025-12-30
ADBE,2018-02-28,2078.947,1820.045,583.076,702.733,33.802352825733415,14973.485,6339.457,499.433,8634.028,17.29,0.73,2025-12-30
ADBE,2017-11-30,2006.595,1735.723,501.549,649.34,32.36029193733663,14535.556,6075.687,500.06,8459.869,16.92,0.72,2025-12-30
ADBE,2017-08-31,1841.074,1578.152,419.569,545.674,29.638895557701645,13906.815,5736.381,500.398,8170.434,16.33,0.7,2025-12-30
ADBE,2017-05-31,1772.19,1532.83,374.39,504.082,28.444015596521815,13364.9,5560.902,500.351,7803.998,15.6,0.71,2025-12-30
ADBE,2017-02-28,1681.646,1444.309,398.446,468.999,27.88928228652166,13044.783,5456.093,500.861,7588.69,15.15,0.72,2025-12-30
ADBE,2016-11-30,1608.419,1391.863,399.613,472.28,29.36299558759254,12707.114,5282.279,501.176,7424.835,14.81,0.71,2025-12-30
ADBE,2016-08-31,1463.967,1261.266,270.788,369.325,25.227686143198586,12367.441,5089.495,503.669,7277.946,14.45,0.7,2025-12-30
ADBE,2016-05-31,1398.709,1196.63,244.074,344.239,24.611195037709773,12216.783,4968.172,504.725,7248.611,14.36,0.69,2025-12-30
ADBE,2016-02-29,1383.335,1184.763,254.307,307.758,22.24753946079583,11896.682,4815.48,505.676,7081.202,14.0,0.68,2025-12-30
ADBE,2015-11-30,1306.404,1105.043,222.705,290.434,22.231560834167684,11726.472,4724.892,506.012,7001.58,13.84,0.67,2025-12-30
ADBE,2015-08-31,1217.768,1026.783,174.465,246.019,20.202452355456867,11508.395,4667.063,505.809,6841.332,13.53,0.68,2025-12-30
ADBE,2015-05-31,1162.158,976.985,147.493,193.617,16.660127108362204,11165.383,4555.28,505.582,6610.103,13.07,0.69,2025-12-30
ADBE,2015-02-28,1109.181,942.383,84.888,173.025,15.59934762676245,11008.422,4419.402,507.526,6589.02,12.98,0.67,2025-12-30
ADBE,2014-11-30,1073.328,912.385,88.136,124.505,11.599902359763279,10785.829,4009.924,507.451,6775.905,13.35,0.59,2025-12-30
ADBE,2014-08-31,1005.409,847.685,44.686,74.176,7.377694052868036,10493.68,3762.42,507.811,6731.26,13.26,0.56,2025-12-30
ADBE,2014-05-31,1068.208,913.304,88.527,135.258,12.662140706678848,10372.199,3735.311,506.687,6636.888,13.1,0.56,2025-12-30
ADBE,2014-02-28,1000.12,851.611,47.046,78.746,7.8736551613806345,10245.882,3634.999,508.34,6610.883,13.0,0.55,2025-12-30
ADSK,2025-10-31,1853.0,1713.0,343.0,475.0,25.634106853750676,11198.0,8305.0,215.0,2893.0,13.46,2.87,2025-12-30
ADSK,2025-07-31,1763.0,1627.0,313.0,444.0,25.184344866704482,10856.0,8141.0,215.0,2715.0,12.63,3.0,2025-12-30
ADSK,2025-04-30,1633.0,1473.0,152.0,233.0,14.26821800367422,10585.0,7968.0,216.0,2617.0,12.12,3.04,2025-12-30
ADSK,2025-01-31,1633.0,1467.0,303.0,383.0,23.453766074709122,10833.0,8212.0,217.0,2621.0,12.08,3.13,2025-12-30
ADSK,2024-10-31,1567.0,1407.0,275.0,351.0,22.399489470325463,10133.0,7517.0,217.0,2616.0,12.06,2.87,2025-12-30
ADSK,2024-07-31,1500.0,1347.0,282.0,353.0,23.533333333333335,9960.0,7486.0,217.0,2474.0,11.4,3.03,2025-12-30
ADSK,2024-04-30,1412.0,1264.0,252.0,307.0,21.742209631728045,9830.0,7669.0,217.0,2161.0,9.96,3.55,2025-12-30
ADSK,2024-01-31,1469.0,1353.0,282.0,315.0,21.443158611300202,9912.0,8057.0,216.0,1855.0,8.59,4.34,2025-12-30
ADSK,2023-10-31,1400.0,1263.0,241.0,329.0,23.5,9226.0,7744.0,216.0,1482.0,6.86,5.23,2025-12-30
ADSK,2023-07-31,1328.0,1190.0,222.0,248.0,18.67469879518072,9107.0,7901.0,215.0,1206.0,5.61,6.55,2025-12-30
ADSK,2023-04-30,1249.0,1112.0,161.0,198.0,15.852682145716573,9069.0,8172.0,216.0,897.0,4.15,9.11,2025-12-30
ADSK,2023-01-31,1294.0,1160.0,293.0,271.0,20.942812982998454,9438.0,8293.0,217.0,1145.0,5.28,7.24,2025-12-30
ADSK,2022-10-31,1261.0,1132.0,198.0,261.0,20.697858842188737,8635.0,7729.0,217.0,906.0,4.18,8.53,2025-12-30
ADSK,2022-07-31,1226.0,1099.0,186.0,242.0,19.73898858075041,8227.0,7487.0,218.0,740.0,3.39,10.12,2025-12-30
ADSK,2022-04-30,1164.0,1037.0,146.0,215.0,18.470790378006875,8261.0,7580.0,219.0,681.0,3.11,11.13,2025-12-30
ADSK,2022-01-31,1209.9,1087.0,89.1,150.5,12.439044549136293,8606.8,7757.7,221.2,849.1,3.84,9.14,2025-12-30
ADSK,2021-10-31,1128.8,1010.5,136.7,201.5,17.850815024805105,8531.0,7251.1,222.0,1279.9,5.77,5.67,2025-12-30
ADSK,2021-07-31,1064.8,948.5,115.6,158.5,14.885424492862509,7420.6,6092.8,222.0,1327.8,5.98,4.59,2025-12-30
ADSK,2021-04-30,994.8,893.7,155.6,152.3,15.309609971853638,7298.3,6169.9,222.0,1128.4,5.08,5.47,2025-12-30
ADSK,2021-01-31,1043.599999,944.0,911.3,189.5,18.158298215943177,7279.8,6314.3,222.5,965.5,4.34,6.54,2025-12-30
ADSK,2020-10-31,952.6,859.1,132.2,170.3,17.87738820071384,5944.5,5875.2,222.3,69.3,0.31,84.78,2025-12-30
ADSK,2020-07-31,911.5,821.3,98.2,148.8,16.324739440482723,5747.3,5680.0,222.2,67.3,0.3,84.4,2025-12-30
ADSK,2020-04-30,883.0,791.8,66.5,131.3,14.869762174405436,5543.9,5683.0,221.3,-139.1,-0.63,-40.86,2025-12-30
ADSK,2020-01-31,895.1,802.6,131.8,137.3,15.339068260529551,6179.3,6318.4,222.5,-139.1,-0.63,-45.42,2025-12-30
ADSK,2019-10-31,837.8,749.0,66.7,107.8,12.867032704702794,5036.6,5208.1,221.9,-171.5,-0.77,-30.37,2025-12-30
ADSK,2019-07-31,791.8,702.8,40.2,70.6,8.916393028542561,4872.7,5067.0,222.4,-194.3,-0.87,-26.08,2025-12-30
ADSK,2019-04-30,732.0,639.6,-24.2,24.3,3.3196721311475406,4808.5,5053.8,219.6,-245.3,-1.12,-20.6,2025-12-30
ADSK,2019-01-31,737.3,654.1,64.7,45.3,6.144039061440391,4729.2,4940.1,221.3,-210.9,-0.95,-23.42,2025-12-30
ADSK,2018-10-31,663.4,586.9,-23.7,23.1,3.4820621043111246,3774.4,4112.7,218.9,-338.3,-1.55,-12.16,2025-12-30
ADSK,2018-07-31,615.2,541.6,-39.4,-5.8,-0.9427828348504551,3833.0,4074.6,219.0,-241.6,-1.1,-16.87,2025-12-30
ADSK,2018-04-30,562.4,491.8,-82.4,-33.6,-5.974395448079658,3911.4,4040.0,218.6,-128.6,-0.59,-31.42,2025-12-30
ADSK,2018-01-31,553.0,475.0,-173.5,-91.0,-16.455696202531644,4113.6,4369.6,219.1,-256.0,-1.17,-17.07,2025-12-30
ADSK,2017-10-31,512.9,430.7,-119.8,-105.3,-20.530317800740885,4152.0,4044.7,219.6,107.3,0.49,37.7,2025-12-30
ADSK,2017-07-31,499.0,419.5,-144.0,-109.4,-21.923847695390783,4354.0,4038.5,219.5,315.5,1.44,12.8,2025-12-30
ADSK,2017-04-30,483.7,399.8,-129.6,-119.2,-24.643373992143893,4431.4,3923.3,219.9,508.1,2.31,7.72,2025-12-30
