Date,Open,High,Low,Close,Volume,Symbol,ma_10,ma_30,ma_50,ma_100,ma_200,RSI Options Rate,macd,MACD Signal,fi,fib_0%,fib_23.6%,fib_38.2%,fib_50%,fib_61.8%,fib_76.4%,fib_100%,fib_signal,SentimentScore,Fundamental_Weight,Monthly Return (%),combined_signal,final_trade,Buy Streak,Sell Streak,trade_value,Adj Close
2025-12-26,28.63,28.93,28.62,28.8,6.28,WBD,28.81,26.02,24.14,19.71,14.99,66.19,1.5,1.63,-76.05,29.33,28.88,28.6,28.37,28.14,27.86,27.41,1,-1.17,-11.63,1.12,38.48,HOLD,0,0,0,
2025-12-26,217.0,220.93,216.18,220.7,1.93,WDAY,217.92,220.3,226.01,228.45,234.99,51.4,-1.96,-2.41,33.94,220.88,219.17,218.11,217.26,216.4,215.34,213.63,-1,-1.43,0.7,0.94,-13.24,HOLD,0,21,0,
2025-12-26,182.31,182.52,178.19,181.54,3.57,WDC,176.14,165.61,156.5,126.78,89.48,59.2,7.0,7.2,0.29,182.55,180.02,178.46,177.2,175.94,174.38,171.85,0,8.52,8.6,0.94,78.76,BUY,153,0,50,
2025-12-26,105.31,106.15,104.79,105.5,6.26,WIX,103.63,104.21,117.31,132.87,146.32,60.71,-2.87,-4.67,8.41,106.15,105.25,104.68,104.23,103.77,103.21,102.3,-1,2.0,-8.6,0.94,-22.24,SELL,0,59,-50,
2025-12-26,221.29,222.17,220.12,221.1,0.84,WM,218.97,214.59,211.02,216.01,222.05,65.82,2.59,2.07,31.07,220.59,219.03,218.07,217.29,216.52,215.56,214.0,1,8.6,-4.53,0.1,52.4,BUY,7,0,50,
2025-12-26,74.1,74.61,74.01,74.42,6.41,XEL,74.04,77.3,78.71,76.75,72.76,35.32,-1.51,-1.51,23.19,74.29,73.86,73.59,73.37,73.15,72.88,72.45,-1,2.73,0.12,0.73,15.92,HOLD,0,0,0,
2025-12-26,90.15,91.03,89.86,90.77,5.82,ZBH,90.62,92.03,94.34,97.76,97.63,35.56,-1.11,-1.02,57.86,92.82,91.8,91.17,90.66,90.15,89.52,88.5,-1,0.3,5.7,0.48,-28.08,SELL,0,18,-50,
2025-12-26,87.45,88.09,87.44,88.04,1.3,ZM,88.49,85.76,84.84,82.44,79.5,51.19,1.2,1.38,-31.6,90.89,89.87,89.24,88.73,88.22,87.6,86.58,1,6.19,12.44,1.12,54.48,BUY,22,0,50,
2025-12-26,229.43,231.06,228.62,230.52,0.0,ZS,231.09,253.78,280.24,282.98,268.72,33.43,-14.0,-15.66,6.99,234.93,233.01,231.82,230.86,229.89,228.7,226.78,-1,6.36,-10.47,0.94,-44.24,SELL,0,20,-50,
2025-12-24,138.35,138.57,137.77,138.32,1.35,A,138.83,144.99,145.11,135.32,124.39,26.44,-2.35,-1.72,11.89,139.19,138.49,138.06,137.71,137.36,136.93,136.23,-1,,,,11.08,HOLD,0,0,0,
